Ip VpVs type
5294.12311 2.81254 shale
5518.83376 2.86640 shale
5135.04669 2.85108 shale
5038.35441 2.83633 shale
4955.74240 2.80342 shale
4879.82096 2.76583 shale
4811.55885 2.77481 shale
4783.84036 2.83618 shale
4832.60266 2.90177 shale
4828.01851 2.94242 shale
4736.32527 2.93399 shale
4665.76459 2.90765 shale
4629.00708 2.90734 shale
4634.91743 2.96567 shale
4711.59542 2.98362 shale
4792.60168 2.96198 shale
4828.31781 2.91653 shale
4863.95538 2.91088 shale
4909.55535 2.86683 shale
5226.06490 2.84407 shale
5174.64657 2.79247 shale
5118.74956 2.77988 shale
4799.25828 2.74103 shale
4677.40634 2.73055 shale
4790.49905 2.14350 sand
4876.04798 2.20502 sand
4910.05223 2.23255 sand
4820.77138 2.24383 sand
4774.37332 2.30970 sand
4358.34475 2.20644 sand
4382.37198 2.19026 sand
6007.97869 2.24005 sand
6054.36571 2.18900 sand
5989.05460 2.13094 sand
5910.27240 2.13310 sand
5858.32262 2.14196 sand
5838.09667 2.14915 sand
5867.49084 2.16186 sand
5870.92971 2.18866 sand
5829.94592 2.15710 sand
5927.16886 2.11032 sand
5949.21411 2.07046 sand
5934.71694 2.01762 sand
5862.35987 1.97817 sand
5642.24628 1.96788 sand
5595.72908 2.01002 sand
5573.08175 2.05049 sand
5526.65700 2.06966 sand
5422.81105 2.06191 sand
5368.15871 2.04513 sand
5427.89287 2.05551 sand
5527.38771 2.04883 sand
5604.74668 2.01838 sand
5649.23710 1.97386 sand
5710.48305 1.93143 sand
5801.79295 1.91393 sand
5883.28011 1.90586 sand
5946.01874 1.90603 sand
6001.83613 1.90817 sand
6047.02916 1.91273 sand
6074.04630 1.91462 sand
6064.55416 1.91887 sand
6023.70417 1.92818 sand
5966.73955 1.94493 sand
5901.59132 1.96491 sand
5852.73606 1.98960 sand
5814.91373 2.01083 sand
5755.29315 2.02162 sand
5637.76463 2.02448 sand
5537.40113 2.01356 sand
5481.26982 2.01001 sand
5462.48726 2.01119 sand
5459.35376 2.02144 sand
5470.61516 2.02101 sand
5482.31575 2.01385 sand
5498.22538 2.00167 sand
5516.42069 1.98270 sand
5528.84419 1.97149 sand
5551.00659 1.96628 sand
5568.19486 1.96178 sand
5566.54120 1.94289 sand
5551.17693 1.92687 sand
5520.72140 1.91761 sand
5483.38767 1.91431 sand
5461.33780 1.91086 sand
5455.95903 1.91296 sand
5474.10991 1.92111 sand
5498.74092 1.93794 sand
5518.78663 1.95381 sand
5546.25652 1.96909 sand
5587.25080 1.98615 sand
5652.16476 2.00402 sand
5716.24706 2.02368 sand
5754.87977 2.02777 sand
5751.50594 2.02718 sand
5722.80198 2.02033 sand
5679.82018 2.00598 sand
5631.42108 1.99499 sand
5627.84962 1.99396 sand
5654.96531 1.99741 sand
5647.11468 2.00213 sand
5575.51426 1.99940 sand
5481.49182 1.99563 sand
5408.21154 1.99123 sand
5389.16376 1.98772 sand
5434.60473 1.99177 sand
5502.56656 2.00073 sand
5566.07781 2.02012 sand
5646.41734 2.05253 sand
5679.03832 2.08608 sand
5585.84718 2.10674 sand
5646.20615 2.34565 sand
5852.52846 2.37952 sand
6096.16717 2.17555 sand
6084.45858 2.16652 sand
6119.99444 2.15380 sand
6182.32462 2.14271 sand
6267.27675 2.13448 sand
6363.06797 2.12054 sand
6454.91449 2.10721 sand
6527.93997 2.10695 sand
6554.70998 2.11396 sand
6598.28830 2.11788 sand
6698.07184 2.11062 sand
6582.03537 2.04519 sand
6494.71820 2.01813 sand
6502.95536 2.04300 sand
6519.12596 2.05587 sand
6516.29355 2.06864 sand
6532.45126 2.07034 sand
6609.70651 2.07453 sand
6639.78036 1.98416 sand
6547.68664 1.99918 sand
6526.87119 2.00750 sand
6537.04481 2.01304 sand
6561.77013 2.02874 sand
6621.72882 2.03860 sand
6565.37199 2.06592 sand
6401.58626 2.08597 sand
6375.28146 2.10706 sand
6357.80556 2.14399 sand
6472.85323 2.10947 sand
6433.44923 2.09884 sand
6401.34537 2.07658 sand
6396.87579 2.04580 sand
6398.04952 2.02154 sand
6417.58924 2.00619 sand
6481.18812 2.01149 sand
6502.34460 2.02618 sand
6484.85518 2.05082 sand
6333.93983 2.03112 sand
6194.64726 2.01213 sand
6065.55077 1.99847 sand
5566.97886 2.40419 shale
5432.29684 2.45659 shale
5384.25566 2.51733 shale
5432.37371 2.55698 shale
5505.81067 2.57546 shale
6296.01488 2.17182 sand
6299.70405 2.13337 sand
6320.59534 2.09881 sand
6349.75457 2.08057 sand
6402.41614 2.10635 sand
6427.68263 2.13372 sand
6442.74886 2.17312 sand
6500.55822 2.20143 sand
6622.25057 2.22790 sand
6519.76981 2.16828 sand
6504.43200 2.16047 sand
6525.77921 2.13955 sand
6561.79224 2.11116 sand
6596.33510 2.08942 sand
6636.49343 2.07777 sand
6694.65880 2.08699 sand
6692.29637 2.04932 sand
6663.22523 2.05861 sand
6625.81910 2.06629 sand
6599.27527 2.07993 sand
6598.47577 2.07839 sand
6601.95632 2.08043 sand
6554.87148 2.07421 sand
6449.19913 2.06385 sand
6331.97229 2.05468 sand
6189.88374 2.06356 sand
6031.13578 2.07993 sand
5858.40897 2.09703 sand
5749.44818 2.11675 sand
6066.46626 2.20624 sand
6389.32411 2.27004 sand
6393.98206 2.19107 sand
6178.32064 2.15284 sand
6094.58397 2.14334 sand
6106.90317 2.15998 sand
6199.82949 2.19278 sand
6033.83645 2.45472 sand
5770.34831 2.28402 sand
5660.89646 2.25778 sand
5589.19622 2.24408 sand
5549.80975 2.25407 sand
5599.97927 2.29973 sand
5936.40102 2.47151 sand
5853.23512 2.40709 sand
5200.00000 2.10000 shale
6200.00000 2.40000 shale
